log_path,pattern
0000-1139-1F3D-47A1-2c4de79851f8bfd21d49.log,Algorithm 7 - Algorithm 7 - Algorithm 3 - Algorithm 3
0000-1139-1F3D-47A1-7272c4178d77561faf13.log,Algorithm 7 - Algorithm 7 - Algorithm 8 - Algorithm 8 - Algorithm 9 - Algorithm 9
0000-1139-1F3D-47A1-72d56ec726afee1187ac.log,Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10
0000-1139-1F3D-47A1-82367cef2dd738975d76.log,Algorithm 7 - Algorithm 7
0000-1139-1F3D-47A1-86c66ea5813d9b31a869.log,Algorithm 7 - Algorithm 7 - Algorithm 17 - Algorithm 17 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 10 - Algorithm 10 - Algorithm 13 - Algorithm 13 - Algorithm 7 - Algorithm 7 - Algorithm 17 - Algorithm 17 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 13 - Algorithm 13
0000-1139-1F3D-47A1-8ab9cf75edda755b20bb.log,Algorithm 13 - Algorithm 13
0000-1139-1F3D-47A1-8ae4982a2b4848c8282d.log,Algorithm 15 - Algorithm 15 - Algorithm 13 - Algorithm 13
0000-1139-1F3D-47A1-93cc47c74f98dcb34d46.log,Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 13 - Algorithm 13
0000-1139-1F3D-47A1-9d42635a9607cad14ac1.log,Algorithm 14 - Algorithm 14
0000-1139-1F3D-47A1-a15407184398b714410d.log,Algorithm 17 - Algorithm 17 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10
0000-1139-1F3D-47A1-a414d4ce5dcc53f0ab67.log,Algorithm 17 - Algorithm 17 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 13 - Algorithm 13
0000-1139-1F3D-47A1-a7943162fe5cf2a71084.log,Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 13 - Algorithm 13 - Algorithm 13 - Algorithm 13 - Algorithm 15 - Algorithm 15 - Algorithm 13 - Algorithm 13
0000-1139-1F3D-47A1-b801fcf59104b623ae09.log,Algorithm 13 - Algorithm 13
0000-1139-1F3D-47A1-cdbbc0e43cc23ef21585.log,Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 13 - Algorithm 13
0000-1139-1F3D-47A1-ea392013086810c26411.log,Algorithm 17 - Algorithm 17 - Algorithm 13 - Algorithm 13 - Algorithm 13 - Algorithm 13 - Algorithm 13 - Algorithm 13
0008-1139-1F3D-0F92-05995e3f417526f7d591.log,"Algorithm 6, Objects count = 1, Frame count = 310 - Algorithm 6 - Algorithm 6, Objects count = 1, Frame count = 889 - Algorithm 6 - Algorithm 6, Objects count = 2, Frame count = 496 - Algorithm 6 - Algorithm 7, Objects count = 2, Frame count = 496 - Algorithm 7 - Algorithm 10, Objects count = 2, Frame count = 496 - Algorithm 10 - Algorithm 15, Objects count = 1, Frame count = 1 - Algorithm 15 - Algorithm 14, Objects count = 1, Frame count = 1 - Algorithm 14"
0011-1139-E285-B5CD-7557c80baa1caafb85bb.log,Algorithm 7 - Algorithm 7
0011-1139-E285-B5CD-a0bef83866e384512bd2.log,Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10
0012-1139-C926-EF07-1c27ac815bf734144d65.log,Algorithm 17 - Algorithm 17
0012-1139-C926-EF07-edc5ed01baf20221f81c.log,"Algorithm 6, Objects count = 1, Frame count = 470 - Algorithm 6 - Algorithm 7, Objects count = 1, Frame count = 470 - Algorithm 7 - Algorithm 7, Objects count = 2, Frame count = 1040 - Algorithm 7 - Algorithm 6, Objects count = 1, Frame count = 96 - Algorithm 6 - Algorithm 6, Objects count = 1, Frame count = 362 - Algorithm 6 - Algorithm 7, Objects count = 3, Frame count = 925 - Algorithm 7 - Algorithm 6, Objects count = 1, Frame count = 562 - Algorithm 6 - Algorithm 7, Objects count = 1, Frame count = 562 - Algorithm 7 - Algorithm 8, Objects count = 1, Frame count = 553 - Algorithm 8 - Algorithm 6, Objects count = 2, Frame count = 895 - Algorithm 6 - Algorithm 6, Objects count = 1, Frame count = 499 - Algorithm 6 - Algorithm 6, Objects count = 1, Frame count = 548 - Algorithm 6 - Algorithm 6, Objects count = 1, Frame count = 76 - Algorithm 6 - Algorithm 7, Objects count = 5, Frame count = 1867 - Algorithm 7 - Algorithm 9, Objects count = 5, Frame count = 1867 - Algorithm 9"
0016-1139-728C-DF7C-01cb01e66e6545a9ebba.log,Algorithm 10 - Algorithm 10 - Algorithm 17 - Algorithm 17 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 8 - Algorithm 8 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 8 - Algorithm 8 - Algorithm 10 - Algorithm 10 - Algorithm 10 - Algorithm 10 - Algorithm 10 - Algorithm 10 - Algorithm 10 - Algorithm 10 - Algorithm 7 - Algorithm 7 - Algorithm 8 - Algorithm 8 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 17 - Algorithm 17 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10
0016-1139-728C-DF7C-0aa02132462787239598.log,Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7
0016-1139-728C-DF7C-1626111e4466304bfbae.log,Algorithm 17 - Algorithm 17 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 8 - Algorithm 8 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 17 - Algorithm 17
0016-1139-728C-DF7C-1f01a4d3dc0378a1e113.log,Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 8 - Algorithm 8 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 15 - Algorithm 15
0016-1139-728C-DF7C-26e1d25a7e8ce60b8cd6.log,Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10
0016-1139-728C-DF7C-29aca2592636c5df99dc.log,Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15
0016-1139-728C-DF7C-4144f8b8df85a5f11b9d.log,Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 15 - Algorithm 15
0016-1139-728C-DF7C-4be8d0f065b299d383dd.log,Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 2 - Algorithm 2 - Algorithm 2 - Algorithm 2 - Algorithm 2 - Algorithm 2 - Algorithm 10 - Algorithm 10
0016-1139-728C-DF7C-582b4dcb461a54a956ee.log,Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 8 - Algorithm 8 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 8 - Algorithm 8 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 8 - Algorithm 8
0016-1139-728C-DF7C-6321cd818b41827cd640.log,Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15 - Algorithm 7 - Algorithm 7 - Algorithm 10 - Algorithm 10 - Algorithm 15 - Algorithm 15
0016-1139-728C-DF7C-652391a4a0fc78cd6219.log,Algorithm 7 - Algorithm 7
0016-1139-728C-DF7C-6cfa806d4441ff1904f5.log,Algorithm 17 - Algorithm 17 - Algorithm 7 - Algorithm 7 - Algorithm 9 - Algorithm 9 - Algorithm 15 - Algorithm 15 - Algorithm 18 - Algorithm 18 - Algorithm 18 - Algorithm 18 - Algorithm 18 - Algorithm 18
