pattern,pattern_counts
Algorithm 7,134
Algorithm 7 -> Algorithm 10 -> Algorithm 15,125
Algorithm 17,124
Algorithm 10,87
Algorithm 7 -> Algorithm 10,62
Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15,54
Algorithm 13,54
Algorithm 7 -> Algorithm 7,50
Algorithm 7 -> Algorithm 8 -> Algorithm 10,49
Algorithm 6 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10,46
Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 17 -> Algorithm 18,45
Algorithm 15,37
Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 14 -> Algorithm 17 -> Algorithm 18,36
Algorithm 14,29
Algorithm 9,28
Algorithm 7 -> Algorithm 10 -> Algorithm 14,26
Algorithm 3,26
Algorithm 7 -> Algorithm 7 -> Algorithm 7,21
Algorithm 7 -> Algorithm 8 -> Algorithm 9,19
Algorithm 7 -> Algorithm 10 -> Algorithm 15 -> Algorithm 14,17
Algorithm 7 -> Algorithm 10 -> Algorithm 13,17
Algorithm 6,17
Algorithm 10 -> Algorithm 15,17
Algorithm 7 -> Algorithm 8,16
Algorithm 6 -> Algorithm 6 -> Algorithm 6 -> Algorithm 7 -> Algorithm 6 -> Algorithm 7 -> Algorithm 7 -> Algorithm 10,16
Algorithm 15 -> Algorithm 15,16
Algorithm 7 -> Algorithm 7 -> Algorithm 10,15
Algorithm 7 -> Algorithm 10 -> Algorithm 15 -> Algorithm 14 -> Algorithm 17 -> Algorithm 18,14
Algorithm 6 -> Algorithm 7 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10,14
Algorithm 17 -> Algorithm 17 -> Algorithm 17,14
Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 13,13
Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7,12
Algorithm 7 -> Algorithm 3,12
Algorithm 17 -> Algorithm 17,12
Algorithm 13 -> Algorithm 13,12
Algorithm 11 -> Algorithm 6 -> Algorithm 7 -> Algorithm 8 -> Algorithm 3 -> Algorithm 14 -> Algorithm 15,12
Algorithm 7 -> Algorithm 8 -> Algorithm 3,11
Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 13,11
Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10,11
Algorithm 15 -> Algorithm 13,11
Algorithm 13 -> Algorithm 13 -> Algorithm 13,10
Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7,9
Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14,9
Algorithm 10 -> Algorithm 10,9
Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10,8
Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17 -> Algorithm 17,8
Algorithm 9 -> Algorithm 9,7
Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13,7
Algorithm 7 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10,7
Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10,7
Algorithm 7 -> Algorithm 3 -> Algorithm 15,7
Algorithm 6 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10,7
Algorithm 11 -> Algorithm 6 -> Algorithm 7 -> Algorithm 7 -> Algorithm 8 -> Algorithm 3 -> Algorithm 14 -> Algorithm 15,7
Algorithm 7 -> Algorithm 9,6
Algorithm 7 -> Algorithm 8 -> Algorithm 3 -> Algorithm 15,6
Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13,6
Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 14,6
Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7,6
Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 10,6
Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10 -> Algorithm 7 -> Algorithm 10,6
Algorithm 7 -> Algorithm 10 -> Algorithm 15 -> Algorithm 7 -> Algorithm 10 -> Algorithm 15,6
Algorithm 6 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10,6
Algorithm 6 -> Algorithm 7 -> Algorithm 10,6
Algorithm 17 -> Algorithm 7 -> Algorithm 10,6
Algorithm 8 -> Algorithm 3,5
Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 10,5
Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 10,5
Algorithm 7 -> Algorithm 7 -> Algorithm 10 -> Algorithm 14,5
Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 17 -> Algorithm 18,5
Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14 -> Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14 -> Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14,5
Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14 -> Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14,5
Algorithm 7 -> Algorithm 10 -> Algorithm 15 -> Algorithm 17 -> Algorithm 18,5
Algorithm 17 -> Algorithm 7,5
Algorithm 14 -> Algorithm 14 -> Algorithm 14,5
Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13,5
Algorithm 10 -> Algorithm 14,5
Algorithm 10 -> Algorithm 10 -> Algorithm 15,5
Algorithm 9 -> Algorithm 15,4
Algorithm 7 -> Algorithm 8 -> Algorithm 3 -> Algorithm 15 -> Algorithm 2 -> Algorithm 14,4
Algorithm 7 -> Algorithm 8 -> Algorithm 3 -> Algorithm 15 -> Algorithm 2 -> Algorithm 13,4
Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10,4
Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15,4
Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 14 -> Algorithm 17 -> Algorithm 18 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 14 -> Algorithm 17 -> Algorithm 18,4
Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13,4
Algorithm 7 -> Algorithm 8 -> Algorithm 10 -> Algorithm 15 -> Algorithm 13 -> Algorithm 13 -> Algorithm 13,4
Algorithm 7 -> Algorithm 7 -> Algorithm 9,4
Algorithm 7 -> Algorithm 7 -> Algorithm 7 -> Algorithm 8 -> Algorithm 10,4
Algorithm 7 -> Algorithm 7 -> Algorithm 17,4
Algorithm 7 -> Algorithm 7 -> Algorithm 10 -> Algorithm 15,4
Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14 -> Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14 -> Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14 -> Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14 -> Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14 -> Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14,4
Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14 -> Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14 -> Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14 -> Algorithm 7 -> Algorithm 3 -> Algorithm 15 -> Algorithm 14,4
Algorithm 7 -> Algorithm 17,4
